Fuel_kg;Outer Tank LH;Inner Tank LH;Central Tank;Inner Tank RH;Outer Tank RH;Trim Tank;MOMENT-X;MOMENT-Y;CG;%MAC
23350,0;2850,0;8825,0;0,0;8825,0;2850,0;0,0;760535,2;0,0;32,6;17,0
23400,0;2850,0;8850,0;0,0;8850,0;2850,0;0,0;762079,7;0,0;32,6;16,9
23450,0;2850,0;8875,0;0,0;8875,0;2850,0;0,0;763624,3;0,0;32,6;16,9
23500,0;2850,0;8900,0;0,0;8900,0;2850,0;0,0;765169,0;0,0;32,6;16,8
23550,0;2850,0;8925,0;0,0;8925,0;2850,0;0,0;766713,8;0,0;32,6;16,8
23600,0;2850,0;8950,0;0,0;8950,0;2850,0;0,0;768258,6;0,0;32,6;16,7
23650,0;2850,0;8975,0;0,0;8975,0;2850,0;0,0;769803,5;0,0;32,5;16,7
23700,0;2850,0;9000,0;0,0;9000,0;2850,0;0,0;771348,4;0,0;32,5;16,6
23750,0;2850,0;9025,0;0,0;9025,0;2850,0;0,0;772893,5;0,0;32,5;16,6
23800,0;2850,0;9050,0;0,0;9050,0;2850,0;0,0;774438,6;0,0;32,5;16,5
23850,0;2850,0;9075,0;0,0;9075,0;2850,0;0,0;775983,7;0,0;32,5;16,5
23900,0;2850,0;9100,0;0,0;9100,0;2850,0;0,0;777529,0;0,0;32,5;16,4
23950,0;2850,0;9125,0;0,0;9125,0;2850,0;0,0;779073,2;0,0;32,5;16,4
24000,0;2850,0;9150,0;0,0;9150,0;2850,0;0,0;780617,1;0,0;32,5;16,3
