Kg_Fuel;Center Tank  X-arm;CT_MOMENT_X
24375;29,95674522;730195,6648
24425;29,95642675;731685,7234
24475;29,95610828;733175,7502
24525;29,95568471;734663,1676
24575;29,95520701;736149,2122
24625;29,9547293;737635,209
24675;29,95425159;739121,158
24725;29,95377389;740607,0593
24775;29,95329618;742092,9128
24825;29,95287898;743580,2207
24875;29,95256051;745069,9427
24925;29,95224204;746559,6328
24975;29,95192357;748049,2911
25025;29,9516051;749538,9175
25075;29,95128662;751028,5121
25125;29,95095223;752517,6748
25175;29,95047452;754003,1961
25225;29,94999682;755488,6697
25275;29,94951911;756974,0955
25325;29,9490414;758459,4735
25375;29,94856369;759944,8037
25425;29,94808599;761430,0862
25475;29,94760828;762915,3209
25525;29,94713057;764400,5079
25575;29,94665287;765885,6471
25625;29,94617516;767370,7385
25675;29,94569745;768855,7821
25725;29,94521975;770340,7779
25775;29,94474204;771825,726
25825;29,94426433;773310,6264
25875;29,94378662;774795,4789
25925;29,94330892;776280,2837
25975;29,94283121;777765,0407
26025;29,9423535;779249,7499
26075;29,94183439;780733,3318
26125;29,94119745;782213,7834
26175;29,94056051;783694,1713
26225;29,93992357;785174,4955
26275;29,93928662;786654,7561
26325;29,93864968;788134,9529
26375;29,93801274;789615,086
26425;29,9373758;791095,1554
26475;29,93673885;792575,1611
26525;29,93610191;794055,1032
26575;29,93546497;795534,9815
26625;29,93482803;797014,7962
26675;29,93419108;798494,5471
26725;29,93355414;799974,2344
26775;29,9329172;801453,858
26825;29,93228025;802933,4178
26875;29,93164331;804412,914
26925;29,93100637;805892,3465
26975;29,93036943;807371,7153
27025;29,92973248;808851,0204
27075;29,92909554;810330,2618
27125;29,9284586;811809,4395
27175;29,92782166;813288,5535
27225;29,92718471;814767,6038
27275;29,92654777;816246,5904
27325;29,92588854;817724,9042
27375;29,92509236;819199,4033
27425;29,92429618;820673,8227
27475;29,9235;822148,1625
27525;29,92270382;823622,4227
27575;29,92190764;825096,6033
27625;29,92111146;826570,7042
27675;29,92031529;828044,7256
27725;29,91951911;829518,6673
27775;29,91872293;830992,5294
27825;29,91792675;832466,3119
27875;29,91713057;833940,0147
27925;29,91633439;835413,638
27975;29,91553822;836887,1816
28025;29,91474204;838360,6456
28075;29,91394586;839834,03
28125;29,91314968;841307,3348
28175;29,9123535;842780,56
28225;29,91155732;844253,7055
28275;29,91071338;845725,4207
28325;29,90975796;847193,8943
28375;29,90880255;848662,2723
28425;29,90784713;850130,5548
28475;29,90689172;851598,7417
28525;29,90593631;853066,8331
28575;29,90498089;854534,829
28625;29,90402548;856002,7293
28675;29,90307006;857470,5341
28725;29,90211465;858938,2433
28775;29,90115924;860405,857
28825;29,90020382;861873,3752
28875;29,89924841;863340,7978
28925;29,89817516;864804,7165
28975;29,89706051;866267,3283
29025;29,89594586;867729,8286
29075;29,89483121;869192,2174
29125;29,89371656;870654,4948
29175;29,89260191;872116,6607
29225;29,89148726;873578,7152
29275;29,89037261;875040,6582
29325;29,88925796;876502,4897
29375;29,88814331;877964,2098
29425;29,88702866;879425,8184
29475;29,88591401;880887,3155
29525;29,8847707;882347,8549
29575;29,88349682;883804,4183
29625;29,88222293;885260,8543
29675;29,88094904;886717,1629
29725;29,87967516;888173,3441
29775;29,87840127;889629,3979
29825;29,87712739;891085,3244
29875;29,87571019;892536,842
29925;29,87427707;893987,7413
29975;29,87284395;895438,4974
30025;29,87141083;896889,1101
30075;29,86997771;898339,5795
30125;29,86854459;899789,9057
30175;29,86711146;901240,0885
30225;29,86567834;902690,1279
30275;29,86424522;904140,0241
30325;29,8628121;905589,777
30375;29,86137898;907039,3865
30425;29,85994586;908488,8528
30475;29,8584586;909936,5258
30525;29,85686624;911380,842
30575;29,85527389;912824,999
30625;29,85368153;914268,9968
30675;29,85208917;915712,8354
30725;29,85049682;917156,5146
30775;29,84890446;918600,0347
30825;29,8473121;920043,3955
30875;29,84571975;921486,5971
30925;29,84412739;922929,6395
30975;29,84253503;924372,5226
31025;29,84094268;925815,2465
31075;29,83935032;927257,8111
31125;29,83750955;928692,4849
31175;29,83559873;930124,7903
31225;29,8336879;931556,9046
31275;29,83177707;932988,8279
31325;29,82986624;934420,56
31375;29,82795541;935852,1011
31425;29,82604459;937283,4511
31475;29,82413376;938714,61
31525;29,82222293;940145,5779
31575;29,8203121;941576,3546
31625;29,81840127;943006,9403
31675;29,81649045;944437,3349
31725;29,81454459;945866,427
31775;29,81247452;947291,3779
31825;29,81040446;948716,1219
31875;29,80833439;950140,6588
31925;29,80626433;951564,9888
31975;29,80419427;952989,1117
32025;29,8021242;954413,0276
32075;29,79990446;955831,9355
32125;29,79767516;957250,3145
32175;29,79544586;958668,4705
32225;29,79321656;960086,4037
32275;29,79098726;961504,1139
32325;29,78875796;962921,6011
32375;29,78663376;964342,2679
32425;29,78456369;965764,4778
32475;29,78249363;967186,4807
32525;29,78042357;968608,2765
32575;29,7783535;970029,8654
32625;29,77628344;971451,2472
32675;29,775;972898,125
32725;29,775;974386,875
